network,mean_bc,std_bc,m_bc,M_bc,mean_cc,std_cc,m_cc,M_cc,mean_cl,std_cl,m_cl,M_cl,mean_ds,std_ds,m_ds,M_ds,mean_sv,std_sv,m_sv,M_sv,diameter,,
ba_000.csv,0.008512505,0.041634866,0,0.671745746,0.109136456,0.021103298,0.058558031,0.186380597,0,0,0,0,1.998,1.952897798,1,25,1.059192009,0.936008701,1.62E-33,5.340211437,23,,
ba_001.csv,0.007952701,0.041709201,0,0.739641642,0.114809252,0.019399765,0.069394276,0.202226721,0,0,0,0,1.998,2.068398964,1,25,1.040072322,0.957209258,1.50E-48,5.170919746,22,,
ba_002.csv,0.009690519,0.046258267,0,0.663299299,0.096523832,0.017505745,0.060523446,0.162491867,0,0,0,0,1.998,1.835037701,1,21,1.063665734,0.930921697,1.56E-34,4.985377371,25,,
ba_003.csv,0.007691333,0.038715549,0,0.794726727,0.118984939,0.022255948,0.070002102,0.213415937,0,0,0,0,1.998,1.838307748,1,21,1.065367775,0.92897336,7.50E-48,5.259067894,20,,
ba_004.csv,0.007577954,0.039930344,0,0.785313313,0.120492629,0.022008924,0.069665272,0.21446973,0,0,0,0,1.998,1.99197489,1,22,1.034705661,0.96300789,1.24E-47,5.276528427,20,,
ba_005.csv,0.008635862,0.04428534,0,0.704458459,0.106663065,0.018175236,0.070406653,0.183605955,0,0,0,0,1.998,1.869087876,1,21,1.057133141,0.938333375,1.25E-47,4.958776678,21,,
ba_006.csv,0.007739532,0.039461371,0,0.822336336,0.118438648,0.022066551,0.059663163,0.212734242,0,0,0,0,1.998,1.920855457,1,21,1.060715835,0.934281498,8.72E-35,5.275349107,22,,
ba_007.csv,0.00784601,0.039735129,0,0.72611011,0.11697119,0.021514085,0.056619814,0.201818182,0,0,0,0,1.998,1.83885219,1,26,1.065389522,0.928948419,1.78E-33,5.507164149,24,,
ba_008.csv,0.008531604,0.042898552,0,0.739431431,0.108406394,0.019703285,0.063972848,0.186728972,0,0,0,0,1.998,1.861574995,1,14,1.043679022,0.953275458,1.99E-47,4.611429103,23,,
ba_009.csv,0.007994737,0.03905941,0,0.768236236,0.11470141,0.020944059,0.066809336,0.206532975,0,0,0,0,1.998,1.829027431,1,27,1.073438799,0.919635333,1.30E-34,5.470423046,22,,
ba_010.csv,0.007773417,0.041496711,0,0.641087087,0.117958578,0.021850199,0.071808511,0.202063107,0,0,0,0,1.998,2.041117871,1,22,1.031336467,0.966615276,8.19E-34,5.25108716,21,,
ba_011.csv,0.008466803,0.041928101,0,0.710028028,0.109257291,0.020241124,0.066255472,0.189491654,0,0,0,0,1.998,1.904632149,1,22,1.053514935,0.942393911,2.15E-33,4.93522025,23,,
ba_012.csv,0.003611185,0.008023719,0,0.105374793,0.219068136,0.022604917,0.167308659,0.323510363,0.005540541,0.043983215,0,1,3.992,3.201903838,2,29,1.575386691,1.228884361,1.02E-17,7.691751055,8,,
ba_013.csv,0.003653139,0.007897327,0,0.115872933,0.217020687,0.022071648,0.171856184,0.314645669,0.007901651,0.068562516,0,1,3.992,3.113459431,2,35,1.581739248,1.220696913,1.35E-17,7.698371503,8,,
ba_014.csv,0.003617303,0.008971068,0,0.163258949,0.218961934,0.023638226,0.173467616,0.3375,0.00642443,0.06034127,0,1,3.992,3.168276183,2,35,1.582038235,1.220309397,2.45E-17,8.121612287,8,,
ba_015.csv,0.003589688,0.009418012,0,0.168975257,0.22031921,0.024057222,0.167927383,0.342123288,0.012038696,0.097087513,0,1,3.992,3.299821938,2,39,1.571667532,1.233637373,1.19E-17,8.412443735,9,,
ba_016.csv,0.003596194,0.008666019,0,0.106217656,0.219919984,0.023454957,0.165561816,0.31795035,0.010726271,0.078413272,0,1,3.992,3.24198187,2,32,1.576594672,1.227334201,2.67E-17,7.975592564,8,,
ba_017.csv,0.003549932,0.008594313,0,0.11162162,0.222051713,0.023155252,0.174925582,0.326044386,0.008031435,0.0682091,0,1,3.992,3.368870031,2,35,1.557811073,1.25108939,1.37E-17,8.082407977,8,,
ba_018.csv,0.003656879,0.008483771,0,0.1233939,0.217066255,0.023261265,0.170506912,0.322362052,0.012616337,0.093248064,0,1,3.992,3.112494759,2,34,1.582940232,1.219139132,3.64E-18,7.99200428,8,,
ba_019.csv,0.003563323,0.009899489,0,0.191284042,0.221673011,0.024485889,0.165671642,0.33910387,0.007529337,0.06738863,0,1,3.992,3.445258453,2,51,1.574538618,1.229970789,3.95E-17,8.676326037,8,,
ba_020.csv,0.003599059,0.008102209,0,0.092624946,0.219556382,0.022357176,0.17259848,0.318863709,0.012060616,0.09728878,0,1,3.992,3.213450212,2,31,1.564542771,1.242660822,1.10E-18,7.860606739,8,,
ba_021.csv,0.003611003,0.008774299,0,0.132035204,0.219240425,0.023537904,0.166389074,0.329159802,0.005751934,0.057374583,0,1,3.992,3.237656316,2,31,1.578565361,1.224798515,3.53E-17,8.098355599,9,,
